# Реплики оператора с живых звонков (STT GigaAM, как есть — без пунктуации,
# числа словами). Разметка: ожидаемый слот (| — любой из; * — префикс),
# ack — речевой акт/подтверждение, на который нужен короткий отклик.
# сценарий	реплика	ожидается
bilet22_call03	продиктуйте адрес пожалуйста квартиры и дома	addr.full
bilet22_call03	я понял хорошо вас как зовут	caller.name
bilet22_call03	что случилось	incident.what|incident.how
bilet22_call03	я понял доступ в его квартиру заблокирован правильно	access.door
bilet22_call03	понятно можно вас пожалуйста контактный телефон	caller.phone
bilet22_call03	как пострадавшего зовут	victim.name
bilet22_call03	то есть ваш друг как его зовут	victim.name
bilet22_call03	я понял	ack
bilet29_call03	алло здравствуйте служба сто двенадцать что у вас случилось	incident.what|incident.how
bilet29_call03	служба сто двенадцать что случилось	incident.what|incident.how
bilet29_call03	что у вас происходит служба сто двенадцать пожалуйста ответьте	incident.what|incident.how|incident.ongoing
bilet29_call03	что случилось по этому адресу	incident.what|incident.how
bilet29_call03	что происходит	incident.what|incident.how|incident.ongoing
bilet29_call03	хорошо а вы кто	caller.role|caller.name
bilet29_call03	вы вы подруга правильно я понимаю	caller.role
bilet29_call03	хорошо можно пожалуйста вашу фио	caller.name
bilet29_call03	что то еще известно о ситуации о пострадавших	victim.present|victim.count
bilet29_call03	пострадавшие есть	victim.present|victim.count
bilet29_call03	я понял спасибо служба уже в пути	ack
bilet07_call01	сто двенадцать говорите	ack
bilet07_call01	служба сто двенадцать что произошло	incident.what|incident.how
bilet07_call01	супер хорошо что у вас происходит	incident.what|incident.how|incident.ongoing
bilet03_call03	алло здравствуйте служба сто двенадцать что у вас случилось	incident.what|incident.how
bilet03_call03	что происходит	incident.what|incident.how|incident.ongoing
bilet03_call03	ага хорошо пострадавшие есть	victim.present|victim.count
bilet03_call03	я вас понял можно пожалуйста адрес	addr.full
bilet03_call03	нет скажите адрес где это произошло	addr.full
bilet03_call03	продиктуйте пожалуйста адрес	addr.full
bilet03_call03	да ориентир это какой километр примерно	addr.landmark|addr.road|addr.full
bilet03_call03	ориентиры есть рядом	addr.landmark
bilet03_call03	я понял хорошо	ack
bilet10_call03	служба сто двенадцать что у вас произошло	incident.what|incident.how
bilet10_call03	что случилось	incident.what|incident.how
bilet10_call03	хороо	ack
bilet10_call03	вы знаете эту женщину	caller.role
bilet10_call03	адрес да можете продиктовать пожалуйста	addr.full
bilet10_call03	я понял все спасибо большое	ack
bilet12_call01	алло здравствуйте служба сто двенадцать что случилось	incident.what|incident.how
bilet12_call01	что случилось	incident.what|incident.how
bilet12_call01	ага хорошо признаки пламени есть	fire.flame
bilet12_call01	пожарные на месте работают	service.on_scene
bilet12_call01	можете адрес пожалуйста ресторана сказать	addr.full
bilet12_call01	я понял пострадавших нет	victim.present|victim.count
bilet12_call01	пострадавшие есть	victim.present|victim.count
bilet28_call01	служба сто двенадцать что случилось	incident.what|incident.how
bilet28_call01	а что у вас происходит	incident.what|incident.how|incident.ongoing
